phase,dataset,trial_id,profile_id,seed,horizon,test_mse,test_mae,complete,checkpoint_sha256
H2,ETTh2,ETTh2__h2_lr5e4,h2_lr5e4,2021,336,0.3122683312867567,0.3711865635745016,True,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
H2,ETTh2,ETTh2__h2_lr5e4,h2_lr5e4,2021,720,0.39405488596768706,0.42976343582293,True,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
H2,ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,96,0.2659839500967137,0.32657150986453487,True,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
H2,ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,192,0.3050110151558611,0.35059004880365885,True,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
H2,ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,336,0.34448984367496216,0.3727244693263644,True,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
H2,ETTm1,ETTm1__h2_table5_capacity,h2_table5_capacity,2021,720,0.4073109251765397,0.4056298297188275,True,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
H4M,ETTm2,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,2021,96,0.1608811102009066,0.24576577725389895,True,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8
H4M,ETTm2,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,2021,192,0.2184282369628787,0.28477006837910346,True,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8
H4M,ETTm2,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,2021,336,0.271552440553906,0.3203940888540244,True,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8
H4M,ETTm2,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,2021,720,0.3440692155815435,0.3718412308467188,True,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8
H2,Exchange,Exchange__h2_lookback336,h2_lookback336,2021,96,0.09836130629220965,0.21621975316643105,True,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b
H2,Exchange,Exchange__h2_lookback336,h2_lookback336,2021,192,0.20626730824320605,0.31759870435976684,True,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b
H2,Exchange,Exchange__h2_lookback336,h2_lookback336,2021,336,0.3804623336287274,0.44352822689009147,True,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b
H2,Exchange,Exchange__h2_lookback336,h2_lookback336,2021,720,0.9102533173058753,0.722978127172281,True,d32f185955a44d3ac7621173029415ca3e4513e1aab9c17d0b84c50b12e9fe7b
H4J,Solar,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,96,0.1715133846977597,0.1973041698281769,True,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4
H4J,Solar,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,192,0.18678586578246154,0.2087816075478677,True,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4
H4J,Solar,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,336,0.19663841182892042,0.21583663495407304,True,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4
H4J,Solar,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,2021,720,0.20700046588501658,0.22124526147340637,True,42172e2eafbcfb90855c0476b6315dece465ede82eb88f626e0f87a7a927c9a4
H4M,Weather,Weather__h4m_seq640_p20,h4m_seq640_p20,2021,96,0.14117433657927778,0.1835145637560941,True,c39fd21b2e9b9597f9f6b57eeb08d8940f426773241eaef0f6452c15fe1d0c21
H4M,Weather,Weather__h4m_seq640_p20,h4m_seq640_p20,2021,192,0.18192195951252224,0.22448361198579292,True,c39fd21b2e9b9597f9f6b57eeb08d8940f426773241eaef0f6452c15fe1d0c21
H4M,Weather,Weather__h4m_seq640_p20,h4m_seq640_p20,2021,336,0.231708098903291,0.26474407734048383,True,c39fd21b2e9b9597f9f6b57eeb08d8940f426773241eaef0f6452c15fe1d0c21
H4M,Weather,Weather__h4m_seq640_p20,h4m_seq640_p20,2021,720,0.30420463595309083,0.31655303283463665,True,c39fd21b2e9b9597f9f6b57eeb08d8940f426773241eaef0f6452c15fe1d0c21
