system,dataset,repeat,horizon,mse,mae,origin_count,channel_count,checkpoint_sha256,prefix_identity,prediction_prefix_sha256,target_prefix_sha256,test_role,test_tuned,test_access_date,matrix_complete,source_metric_file,global_elementwise_mse,global_elementwise_mae,native_batch_mean_mse,native_batch_mean_mae,metric_semantics,global_elementwise_float64_mse,global_elementwise_float64_mae
ISCF-BSCA-MAIN-v1,ETTh1,0,96,0.351976402970048,0.39123289011502366,2161,7,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-03,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
ISCF-BSCA-MAIN-v1,ETTh1,0,192,0.3781118196471161,0.4064746981892506,2161,7,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-03,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
ISCF-BSCA-MAIN-v1,ETTh1,0,336,0.39353640120983735,0.41980139259626054,2161,7,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-03,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
ISCF-BSCA-MAIN-v1,ETTh1,0,720,0.45045415910275827,0.46662598434351565,2161,7,1e4021071ac805b8941d9b4ab49da13ee4d8b520c03f16c4f4e458e6dec98814,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-03,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
ISCF-BSCA-MAIN-v1,ETTh2,0,96,0.2405494467507989,0.3144207512151374,2161,7,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-01,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
ISCF-BSCA-MAIN-v1,ETTh2,0,192,0.28245514440266534,0.34509201304952075,2161,7,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-01,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
ISCF-BSCA-MAIN-v1,ETTh2,0,336,0.3122683312867567,0.3711865635745016,2161,7,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-01,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
ISCF-BSCA-MAIN-v1,ETTh2,0,720,0.39405488596768706,0.42976343582293,2161,7,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-01,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
ISCF-BSCA-MAIN-v1,ETTm1,0,96,0.2659839500967137,0.32657150986453487,10801,7,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-01,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
ISCF-BSCA-MAIN-v1,ETTm1,0,192,0.3050110151558611,0.35059004880365885,10801,7,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948,True,not_retained_prior_completed_audit,not_retained_prior_completed_audit,reused_completed_formal_H720_full_crop_dense_prefix,True,2026-08-01,False,analysis/iscf_bsca_paper_experiment_consolidation_20260731/main_ii_h720_prefix_20260808/formal_results_20260809/formal_test_reused/ISCF-BSCA-MAIN-v1/prefix_metrics.csv,,,,,,,
