dataset,probe_row_index,future_step,target,full_iscf_bsca,fixed_scope_s144,scope_1_probability,scope_1_forecast,scope_48_probability,scope_48_forecast,scope_144_probability,scope_144_forecast,scope_360_probability,scope_360_forecast,scope_720_probability,scope_720_forecast
Weather,77,1,-0.09350552409887314,-0.10025392472743988,-0.11117368936538696,0.19278039038181305,-0.10148677974939346,0.19518506526947021,-0.09808304905891418,0.19682791829109192,-0.10184916853904724,0.20596984028816223,-0.10288563370704651,0.20923684537410736,-0.09705185890197754
Weather,77,2,-0.09350552409887314,-0.09709871560335159,-0.09763246774673462,0.19278134405612946,-0.09298659861087799,0.1951858252286911,-0.10111884027719498,0.1968282163143158,-0.10073655098676682,0.20596912503242493,-0.08938485383987427,0.2092355489730835,-0.10130859166383743
Weather,77,3,-0.09350552409887314,-0.09559152275323868,-0.09810188412666321,0.19278326630592346,-0.09263331443071365,0.19518736004829407,-0.09187768399715424,0.19682879745960236,-0.09466999769210815,0.20596769452095032,-0.09489643573760986,0.20923294126987457,-0.10333281010389328
Weather,77,4,-0.09350552409887314,-0.09757998585700989,-0.09925277531147003,0.1927861124277115,-0.0950758084654808,0.19518965482711792,-0.09416258335113525,0.1968296617269516,-0.10068011283874512,0.2059655338525772,-0.09817938506603241,0.20922903716564178,-0.09956899285316467
Weather,77,5,-0.09350552409887314,-0.09412427246570587,-0.10076992958784103,0.1927899420261383,-0.09174337238073349,0.19519270956516266,-0.08573323488235474,0.19683082401752472,-0.09564389288425446,0.20596268773078918,-0.09887868911027908,0.20922383666038513,-0.09803656488656998
Weather,77,6,-0.09350552409887314,-0.0947139710187912,-0.10388711839914322,0.19279469549655914,-0.09814660251140594,0.19519655406475067,-0.0917915627360344,0.19683228433132172,-0.09379644691944122,0.20595911145210266,-0.09380392730236053,0.20921733975410461,-0.0960364043712616
Weather,77,7,-0.09350552409887314,-0.10090669989585876,-0.10407809913158417,0.19280043244361877,-0.09886002540588379,0.19520112872123718,-0.10987697541713715,0.1968340277671814,-0.10033668577671051,0.20595486462116241,-0.09796909242868423,0.20920957624912262,-0.09785141050815582
Weather,77,8,-0.09350552409887314,-0.09755941480398178,-0.10303843021392822,0.19280707836151123,-0.09421159327030182,0.1952064484357834,-0.10813199728727341,0.19683605432510376,-0.08898571133613586,0.20594985783100128,-0.09571497142314911,0.20920050144195557,-0.10066230595111847
Weather,77,9,-0.09350552409887314,-0.09333356469869614,-0.09990055859088898,0.1928146630525589,-0.08777739107608795,0.19521252810955048,-0.08844836056232452,0.1968383640050888,-0.09737353771924973,0.20594419538974762,-0.09718187898397446,0.20919017493724823,-0.09542357176542282
Weather,77,10,-0.09350552409887314,-0.0934145450592041,-0.09831927716732025,0.19282323122024536,-0.09507574141025543,0.19521938264369965,-0.09027320146560669,0.19684098660945892,-0.0938195139169693,0.20593784749507904,-0.09409348666667938,0.2091785967350006,-0.09376545250415802
